timestamp,temp1,temp2,weight,hum1,x5,hum2,x7,x8,ticks
2019/03/11 05:00:32,8.2,3.0,88.1,96.9,,31.31,4.22,0.00,1552276832
2019/03/11 06:30:33,7.5,2.5,89.1,97.2,,31.36,4.22,0.18,1552282233
2019/03/11 08:00:33,6.7,1.8,92.9,98.5,,31.25,4.21,0.45,1552287633
2019/03/11 09:30:31,7.0,2.5,98.9,99.4,,31.19,4.22,0.47,1552293031
2019/03/11 11:00:31,7.4,4.0,97.1,99.4,,30.99,4.22,1.38,1552298431
2019/03/11 12:30:35,8.4,7.0,88.3,94.9,,31.5,4.22,1.36,1552303835
2019/03/11 14:00:43,9.1,7.5,80.9,89.0,,31.96,4.22,1.21,1552309243
2019/03/11 15:30:34,9.6,7.8,77.5,86.3,,32.02,4.22,1.35,1552314634
2019/03/11 17:00:54,9.6,7.0,86.7,89.0,,31.49,4.22,1.04,1552320054
2019/03/11 18:30:55,9.2,6.3,80.5,87.4,,32.1,4.22,0.43,1552325455
2019/03/11 20:00:31,9.1,6.0,82.3,88.3,,32.23,4.22,0.00,1552330831
2019/03/11 21:30:31,9.3,5.5,86.2,89.8,,31.94,4.22,0.00,1552336231
2019/03/11 23:00:32,9.3,4.3,81.9,90.7,,32.01,4.22,0.00,1552341632
2019/03/12 02:00:35,8.7,0.0,79.5,92.8,,31.58,4.22,0.00,1552352435
2019/03/12 11:00:39,10.3,7.8,82.3,93.7,,31.96,4.22,1.28,1552384839
2019/03/12 12:30:31,11.3,9.3,77.0,90.0,,31.95,4.22,1.34,1552390231
2019/03/12 14:00:33,12.5,10.3,71.3,86.6,,31.91,4.22,1.33,1552395633
2019/03/12 15:30:32,12.6,9.8,67.8,84.3,,32.15,4.22,1.27,1552401032
2019/03/12 17:00:32,12.5,9.3,65.2,82.7,,32.14,4.22,0.59,1552406432
2019/03/12 18:30:33,12.7,9.0,63.7,80.7,,32.06,4.22,0.43,1552411833
2019/03/12 20:00:34,12.6,9.0,61.3,79.5,,31.94,4.22,0.00,1552417234
2019/03/12 21:30:31,12.7,8.3,70.8,81.5,,31.5,4.22,0.00,1552422631
2019/03/12 23:00:32,10.7,5.0,82.6,91.8,,31.38,4.22,0.00,1552428032
2019/03/13 00:30:32,10.2,5.0,86.4,92.8,,31.24,4.22,0.00,1552433432
2019/03/13 02:00:34,9.7,4.8,83.3,93.2,,31.39,4.22,0.00,1552438834
2019/03/13 03:30:34,9.6,5.0,84.2,93.6,,31.61,4.22,0.00,1552444234
2019/03/13 05:00:32,9.1,5.3,82.8,93.2,,31.8,4.22,0.00,1552449632
2019/03/13 06:30:31,9.3,5.8,82.1,92.0,,31.77,4.21,0.18,1552455031
2019/03/13 08:00:32,9.4,6.0,83.5,91.6,,31.75,4.21,0.45,1552460432
2019/03/13 09:30:32,9.4,6.0,85.9,92.6,,31.7,4.21,0.48,1552465832
2019/03/13 11:00:35,9.2,6.3,89.7,93.8,,31.51,4.21,0.71,1552471235
2019/03/13 12:30:31,9.2,6.8,91.7,95.1,,31.19,4.22,0.78,1552476631
2019/03/13 14:00:32,9.3,6.3,98.3,96.5,,31.45,4.22,0.76,1552482032
2019/03/13 15:30:31,9.4,7.0,100.9,98.2,,31.17,4.22,1.23,1552487431
2019/03/13 17:00:32,9.4,6.0,100.5,99.2,,31.32,4.22,0.44,1552492832
2019/03/13 18:30:32,9.2,4.5,99.0,99.4,,31.15,4.22,0.44,1552498232
2019/03/13 20:00:33,10.1,5.5,99.2,99.4,,31.08,4.22,0.00,1552503633
2019/03/13 21:30:31,9.8,5.3,91.8,99.4,,31.08,4.22,0.00,1552509031
2019/03/13 23:00:31,10.0,5.0,91.9,99.4,,31.04,4.22,0.00,1552514431
2019/03/14 00:30:32,9.9,5.3,90.1,99.4,,30.89,4.22,0.00,1552519832
2019/03/14 02:00:33,10.0,5.3,95.4,99.4,,31.06,4.22,0.00,1552525233
2019/03/14 03:30:33,9.9,5.5,92.3,99.4,,30.99,4.22,0.00,1552530633
2019/03/14 05:00:31,10.1,5.8,93.4,99.4,,31.03,4.21,0.00,1552536031
2019/03/14 06:30:32,10.0,5.5,88.7,99.4,,30.92,4.22,0.32,1552541432
2019/03/14 08:00:31,9.8,5.5,95.5,99.4,,31.09,4.21,0.46,1552546831
2019/03/14 09:30:31,9.8,5.5,99.5,99.4,,31.14,4.21,0.59,1552552231
2019/03/14 11:00:32,9.6,5.5,101.5,99.4,,31.12,4.22,1.07,1552557632
2019/03/14 12:30:53,11.5,6.3,95.2,99.4,,24.97,4.22,1.04,1552563053
2019/03/14 14:00:31,11.5,6.8,100.3,99.4,,24.98,4.22,0.49,1552568431
2019/03/14 15:30:31,12.5,10.3,102.9,99.4,,24.93,4.22,1.29,1552573831
2019/03/14 17:00:31,12.5,8.3,96.9,99.4,,25.01,4.22,0.80,1552579231
2019/03/14 18:30:40,12.7,8.0,96.8,99.4,,24.91,4.22,0.43,1552584640
2019/03/14 20:00:34,11.9,6.8,102.1,99.4,,24.93,4.22,0.00,1552590034
2019/03/14 21:30:33,11.8,6.8,91.7,99.4,,24.89,4.22,0.00,1552595433
2019/03/14 23:00:33,12.0,7.0,91.0,99.4,,24.85,4.22,0.00,1552600833
2019/03/15 00:30:31,11.6,6.5,91.2,99.4,,24.85,4.22,0.00,1552606231
2019/03/15 02:00:32,11.8,6.8,91.6,99.4,,24.84,4.21,0.00,1552611632
2019/03/15 03:30:32,11.7,6.5,92.2,99.3,,24.79,4.22,0.00,1552617032
2019/03/15 05:00:33,11.2,6.5,91.8,99.0,,24.81,4.21,0.00,1552622433
2019/03/15 06:30:31,11.6,6.3,91.7,99.4,,24.8,4.21,0.31,1552627831
2019/03/15 08:00:31,11.9,6.8,100.3,99.4,,24.89,4.21,0.45,1552633231
2019/03/15 09:30:31,12.0,7.0,104.3,99.4,,24.96,4.21,0.61,1552638631
2019/03/15 11:00:33,13.7,9.3,105.7,99.4,,24.99,4.21,0.98,1552644033
2019/03/15 12:30:37,14.2,10.5,107.8,99.4,,25.04,4.22,0.86,1552649437
2019/03/15 14:00:33,14.7,12.3,106.4,99.4,,25.01,4.22,1.17,1552654833
2019/03/15 15:30:31,14.7,11.8,103.1,99.4,,24.91,4.22,0.61,1552660231
2019/03/15 17:00:30,14.6,11.3,104.4,99.4,,25.01,4.22,0.45,1552665630
2019/03/15 18:30:31,14.1,10.8,107.0,99.4,,25.02,4.22,0.43,1552671031
2019/03/15 20:00:32,13.7,9.5,108.4,99.4,,25.07,4.22,0.00,1552676432
2019/03/15 21:30:32,12.7,7.8,111.8,99.4,,24.92,4.22,0.00,1552681832
2019/03/15 23:00:33,12.9,7.8,110.1,99.4,,24.91,4.22,0.00,1552687233
2019/03/16 00:30:32,12.7,7.0,107.1,99.4,,24.91,4.22,0.00,1552692632
2019/03/16 02:00:31,13.6,8.3,108.6,99.4,,24.97,4.21,0.00,1552698031
2019/03/16 03:30:32,13.5,7.3,112.2,99.4,,24.96,4.21,0.00,1552703432
2019/03/16 05:00:32,12.5,6.8,112.4,99.4,,24.98,4.21,0.00,1552708832
2019/03/16 06:30:33,12.6,7.0,110.3,99.4,,24.97,4.21,0.32,1552714233
2019/03/16 08:00:32,12.7,7.0,107.5,99.4,,24.97,4.21,0.46,1552719632
2019/03/16 09:30:31,14.0,9.5,107.4,99.4,,24.96,4.21,0.68,1552725031
2019/03/16 11:00:31,13.9,10.5,104.5,99.4,,24.95,4.22,1.21,1552730431
2019/03/16 12:30:32,14.5,11.3,94.4,99.4,,24.91,4.22,0.89,1552735832
2019/03/16 14:00:34,14.3,10.8,92.4,98.1,,24.82,4.22,0.76,1552741234
2019/03/16 15:30:33,14.8,10.8,92.3,96.9,,24.78,4.22,0.95,1552746633
2019/03/16 17:00:31,14.1,11.0,93.4,95.7,,24.8,4.22,0.98,1552752031
2019/03/16 18:30:32,14.0,10.5,99.2,95.8,,24.78,4.22,0.44,1552757432
2019/03/16 20:00:31,14.0,10.3,99.5,95.7,,24.76,4.22,0.00,1552762831
2019/03/16 21:30:32,14.2,10.0,109.0,95.4,,24.75,4.22,0.00,1552768232
2019/03/16 23:00:32,14.0,9.8,105.4,95.7,,24.77,4.22,0.00,1552773632
2019/03/17 00:30:31,14.1,10.0,105.4,95.5,,24.76,4.22,0.00,1552779031
2019/03/17 01:30:31,14.4,10.5,106.0,94.9,,24.76,4.21,0.00,1552782631
2019/03/17 02:30:31,14.3,10.5,106.4,94.3,,24.72,4.21,0.00,1552786231
2019/03/17 03:30:31,14.5,10.3,94.8,94.2,,24.72,4.21,0.00,1552789831
2019/03/17 04:30:31,14.0,10.0,109.9,94.0,,24.68,4.21,0.00,1552793431
2019/03/17 05:30:32,14.2,9.8,100.0,94.1,,24.64,4.21,0.00,1552797032
2019/03/17 06:30:33,13.4,8.8,102.8,94.8,,24.75,4.21,0.34,1552800633
2019/03/17 07:30:33,12.9,8.0,103.5,96.5,,24.74,4.21,0.45,1552804233
2019/03/17 08:30:33,12.7,7.8,102.3,98.4,,24.81,4.21,0.69,1552807833
2019/03/17 08:40:32,12.6,7.8,102.5,98.7,,24.81,4.21,0.69,1552808432
2019/03/17 08:50:31,12.6,7.8,102.6,98.9,,24.8,4.21,0.79,1552809031
2019/03/17 09:00:31,12.6,7.8,101.1,99.0,,24.8,4.21,0.58,1552809631
2019/03/17 09:10:32,12.4,7.8,103.9,99.2,,24.81,4.20,0.46,1552810232
2019/03/17 09:20:31,12.1,7.3,105.1,99.2,,24.84,4.21,0.91,1552810831
2019/03/17 09:30:31,12.0,7.3,105.5,99.3,,24.81,4.21,1.02,1552811431
2019/03/17 09:40:32,12.0,7.3,107.5,99.3,,24.79,4.21,1.16,1552812032
2019/03/17 09:50:31,12.1,7.3,108.5,99.3,,24.79,4.21,1.20,1552812631
2019/03/17 10:00:32,12.0,7.5,106.4,99.2,,24.77,4.21,0.43,1552813232
2019/03/17 10:10:33,12.0,7.5,110.2,99.2,,24.77,4.21,0.43,1552813833
2019/03/17 10:20:31,12.3,7.8,108.7,99.3,,24.72,4.21,0.43,1552814431
2019/03/17 10:30:31,12.4,8.0,104.2,99.4,,24.76,4.20,0.43,1552815031
2019/03/17 10:40:33,12.7,8.3,102.0,99.2,,24.72,4.20,0.43,1552815633
2019/03/17 10:50:33,12.8,8.5,102.4,99.2,,24.76,4.20,0.43,1552816233
2019/03/17 11:00:31,12.8,8.8,100.9,98.8,,24.75,4.20,0.43,1552816831
2019/03/17 11:10:33,13.0,8.8,97.0,98.6,,24.72,4.20,0.43,1552817433
2019/03/17 11:20:32,13.1,9.0,93.9,97.9,,24.68,4.20,0.43,1552818032
2019/03/17 11:30:30,13.0,9.0,94.7,97.5,,24.73,4.20,0.43,1552818630
2019/03/17 11:40:33,13.0,9.0,87.1,95.9,,24.71,4.20,0.43,1552819233
2019/03/17 11:50:33,13.0,9.0,88.2,95.8,,24.69,4.20,0.43,1552819833
2019/03/17 12:00:31,13.1,9.3,89.0,95.5,,24.73,4.20,0.43,1552820431
2019/03/17 12:10:30,13.3,9.5,90.5,95.6,,24.71,4.20,0.43,1552821030
2019/03/17 12:20:32,13.3,9.8,88.4,94.6,,24.69,4.20,0.43,1552821632
2019/03/17 12:30:31,13.9,10.5,83.9,93.9,,24.68,4.20,0.43,1552822231
2019/03/17 12:40:31,14.0,11.0,79.1,90.7,,24.66,4.20,0.43,1552822831
2019/03/17 12:50:34,13.6,10.5,80.8,90.4,,24.69,4.20,0.43,1552823434
2019/03/17 13:00:31,13.4,9.5,82.6,91.4,,24.62,4.20,0.43,1552824031
2019/03/17 13:10:31,13.6,9.8,85.6,92.2,,24.67,4.20,0.43,1552824631
2019/03/17 13:20:32,13.9,10.3,84.2,91.6,,24.67,4.20,0.43,1552825232
2019/03/17 13:30:32,14.0,10.3,81.3,90.5,,24.67,4.20,0.43,1552825832
2019/03/17 13:40:31,14.2,10.3,80.0,90.0,,24.7,4.19,0.43,1552826431
2019/03/17 13:50:33,13.8,9.8,74.5,86.7,,24.62,4.20,0.43,1552827033
2019/03/17 14:00:32,13.7,9.3,76.0,88.1,,24.62,4.20,0.43,1552827632
2019/03/17 14:10:31,14.5,9.8,77.6,89.1,,24.62,4.19,0.43,1552828231
2019/03/17 14:20:35,14.5,10.3,77.1,88.0,,24.63,4.19,0.43,1552828835
2019/03/17 14:30:34,14.3,10.3,73.2,86.6,,24.66,4.19,0.43,1552829434
2019/03/17 14:40:31,14.2,9.8,72.2,86.0,,24.58,4.19,0.43,1552830031
2019/03/17 14:50:31,14.2,9.5,70.5,85.8,,24.58,4.19,0.43,1552830631
2019/03/17 15:00:32,14.4,10.0,71.6,85.6,,24.63,4.19,0.43,1552831232
2019/03/17 15:10:31,14.1,10.0,77.1,85.6,,24.62,4.19,0.43,1552831831
2019/03/17 15:20:31,14.7,10.3,72.6,86.1,,24.6,4.18,0.43,1552832431
2019/03/17 15:30:32,15.0,11.0,75.1,85.8,,24.58,4.18,0.43,1552833032
2019/03/17 15:40:31,14.9,11.0,72.8,84.6,,24.62,4.19,0.43,1552833631
2019/03/17 15:50:33,14.7,10.8,72.7,84.8,,24.62,4.19,0.43,1552834233
2019/03/17 16:00:34,14.4,9.8,78.0,85.2,,24.57,4.19,0.43,1552834834
2019/03/17 16:10:31,14.1,9.3,84.7,85.9,,24.6,4.19,0.43,1552835431
2019/03/17 16:20:31,13.9,8.8,79.5,86.3,,24.66,4.19,0.43,1552836031
2019/03/17 16:30:33,13.5,8.3,92.0,87.0,,24.66,4.18,0.43,1552836633
2019/03/17 16:40:33,13.4,7.8,90.4,87.9,,24.62,4.18,0.43,1552837233
2019/03/17 16:50:30,13.4,7.0,82.3,88.3,,24.65,4.18,0.43,1552837830
2019/03/17 17:00:33,13.1,6.5,84.3,89.4,,24.71,4.18,0.43,1552838433
2019/03/17 17:10:32,12.4,6.8,89.8,89.6,,24.68,4.18,0.43,1552839032
2019/03/17 17:20:31,12.1,6.5,98.6,90.0,,24.66,4.18,0.43,1552839631
2019/03/17 17:30:31,12.1,6.5,106.1,90.2,,24.66,4.18,0.43,1552840231
2019/03/17 17:40:32,11.9,6.5,101.0,90.5,,24.66,4.18,0.43,1552840832
2019/03/17 17:50:31,11.9,6.5,109.0,90.8,,24.65,4.18,0.43,1552841431
2019/03/17 18:00:31,11.8,6.3,107.3,91.1,,24.65,4.18,0.43,1552842031
2019/03/17 18:10:33,11.6,6.3,103.7,91.3,,24.65,4.18,0.43,1552842633
2019/03/17 18:20:32,11.7,6.0,99.1,91.7,,24.64,4.18,0.43,1552843232
2019/03/17 18:30:31,11.7,6.0,99.9,91.9,,24.63,4.18,0.43,1552843831
2019/03/17 18:40:32,11.6,6.0,99.7,91.9,,24.62,4.18,0.42,1552844432
2019/03/17 18:50:39,11.5,6.0,95.8,92.0,,24.63,4.18,0.42,1552845039
2019/03/17 19:00:35,11.4,6.0,99.6,92.1,,24.61,4.18,0.11,1552845635
2019/03/17 19:10:33,11.8,6.0,94.3,92.2,,24.64,4.18,0.00,1552846233
2019/03/17 19:20:31,11.2,5.5,92.7,92.1,,24.68,4.18,0.00,1552846831
2019/03/17 19:30:30,10.9,5.0,95.2,92.7,,24.67,4.18,0.00,1552847430
2019/03/17 19:40:34,10.8,4.8,98.0,93.0,,24.66,4.18,0.00,1552848034
2019/03/17 19:50:32,10.6,4.5,102.5,93.1,,24.65,4.18,0.00,1552848632
2019/03/17 20:00:37,11.1,4.5,101.4,93.2,,24.63,4.18,0.00,1552849237
2019/03/17 20:10:33,11.3,4.3,97.2,93.4,,24.64,4.18,0.00,1552849833
2019/03/17 20:20:32,10.8,4.3,94.3,93.5,,24.65,4.18,0.00,1552850432
2019/03/17 20:30:31,10.9,4.0,93.8,93.9,,24.61,4.18,0.00,1552851031
2019/03/17 20:40:31,11.0,3.8,90.6,94.2,,24.62,4.17,0.00,1552851631
2019/03/17 20:50:32,10.5,3.5,92.9,94.4,,24.6,4.17,0.00,1552852232
2019/03/17 21:00:31,10.2,3.5,94.8,94.6,,24.59,4.18,0.00,1552852831
2019/03/17 22:00:37,9.2,2.5,101.2,95.0,,24.57,4.17,0.00,1552856437
2019/03/17 23:00:32,9.5,2.5,97.5,95.8,,24.57,4.17,0.00,1552860032
2019/03/18 00:00:34,9.0,2.8,97.8,96.2,,24.56,4.17,0.00,1552863634
2019/03/18 01:00:35,8.5,2.5,93.8,96.5,,24.56,4.17,0.00,1552867235
2019/03/18 02:00:31,8.7,2.3,92.6,97.0,,24.54,4.17,0.00,1552870831
2019/03/18 03:00:33,8.0,2.0,90.2,97.3,,24.53,4.17,0.00,1552874433
2019/03/18 04:00:30,8.3,2.0,92.4,97.8,,24.53,4.17,0.00,1552878030
2019/03/18 05:00:34,8.7,2.8,99.3,98.2,,24.58,4.17,0.00,1552881634
2019/03/18 06:00:31,8.1,2.8,96.6,98.8,,24.63,4.17,0.00,1552885231
2019/03/18 07:00:32,8.0,2.8,97.7,99.4,,24.57,4.17,0.45,1552888832
2019/03/18 08:00:32,8.4,3.8,99.8,99.4,,24.57,4.17,0.43,1552892432
2019/03/18 08:10:31,8.4,4.0,98.7,99.4,,24.58,4.17,0.43,1552893031
2019/03/18 08:20:31,8.4,4.0,97.4,99.4,,24.57,4.17,0.43,1552893631
2019/03/18 08:30:34,8.6,4.3,97.9,99.4,,24.58,4.17,0.44,1552894234
2019/03/18 08:40:31,8.7,4.3,100.4,99.4,,24.58,4.17,0.44,1552894831
2019/03/18 08:50:33,8.9,4.5,101.1,99.4,,24.58,4.17,0.44,1552895433
